C0 (139 OGs)			C1 (30 OGs)			C2 (106 OGs)			C3 (26 OGs)		
1453	856465	2539832				2404	856891	2541582			
1592	856145	2540472				3064	854778	2543351			
1857	852789	2543416				31471	852499	2541726			
1902	850625	2539968				31576	852092	2539926			
2076	855600	2541812				31840	855201	2542274			
2109	851408	2543347,2542907				34343	851086	2539580			
21477	852322	2543492				34364	851938	2541632,2539460			
21491	852438	2543414				34457	851503	2541871,2541153			
21578	851403	2541000				36388	854257	2543002			
22221	855492	2538694,2539601				37487	856876	2541727			
2699	851100	2541017				37889	851421,851339	2540072			
2781	855357	2543621				38392	852346	2540296			
29	855993	2541313,2543377				38402	852366	2539157			
2991	852549	2539887				38612	851487	2543291			
3060	851195	2543662				38633	851558	2539495			
31432	851419,851336	2539308				38821	852023	2542527			
31631	852802	2540213				38905	856739	2541113			
31858	855424	2540023				3897	853775	2541462			
31948	854518	2540989				38987	852648	2541562			
32	856411	2539950,2539980				39223	856448	2542493			
3586	856226	2539663				39835	854872,855303	2542498			
3672	856687	2542663				39955	855215	2539150			
3693	851874	2539106				40105	850466,851182,855588	2541784			
3702	850422	2541182				40411	855895	2543587			
37249	855581	2540066				41034	855705	2542441			
37567	856147	2541752				49042	854127	2540920,2542989			
37839	851771	2543227				5346	852266	2542515			
38180	856459	2543062				5351	852286,851564	2541115			
38872	852146	2541295,2539466,2541799,2542927				5392	852423	2542660			
3918	851326	2539574				5472	850367	2541160			
39311	854711	2539319				55467	851092	2540031			
39578	853855	2539162				55842	853574	2542522			
39597	853326,853916	2540451				55968	854697	2541601			
39632	850631	2540934,2539551,2540262,2540940,2540286				56080	851351,853624	2540119			
3981	856815	2543484				5618	851646	2542577			
39995	855301	2539238				56221	853538	2543147			
40124	855639	2541762				56254	855804	2543379,2541480			
40365	854515	2538869,2539097,3361387				56274	855085	2539381			
40568	856320	2543417				57102	850712	2542922			
41014	854469	2540324				5712	851956	2540065			
41191	855403	2543591				5785	856664,853510	2542206			
41203	855746	2538946				5978	852977	2539093			
41557	855042	2538830,2543077				6001	853951,855292	2539028			
41789	854165	2539158				6039	853170	2539672			
4210	851632	2543648				6110	856513	2543605			
4373	853438	2540567				6424	850630	2541673			
43791	855695	2538796				6477	850898	2542605			
4660	850894	2541087				6566	854888	2543430			
5044	850745	3361266,2542109				6701	855348	2540741			
5093	852704	2541786				6759	855509	2539965			
5114	850298	2540544				6795	855608	2542051			
5240	854211	2539975				68174	856911	2543064,2542363			
5296	851208	2541944				6820	855682	2538917			
5361	852313	2541434				68439	853757	2539622			
5486	850414	2542685				68450	851006	2543110,2543536			
5490	850423	2541824				68479	856140	2539171			
5524	851319	2542369				68641	851785	2541625			
5568	851477,855173	2543553				68737	856609	2543024,2542289,2541387			
5576	851499	2541779				68744	854651	2539217			
5590	851530	2543197				68952	855829	2539614			
56075	850394	2540342				69045	854889	2540936,2539864			
5683	851894	2542273				7101	856013	2541392,2541377,2541401,2541374			
5707	851942	2540548				7131	855732	2543283			
57158	852225	2539901				74667	852636	2542714			
5803	856725	2540396				747	854229	2543309,2542265			
5835	856846	2539863				74711	854765	2542914			
5881	852651	2539063				74755	850950	2539027			
5931	855889	2539082				74841	855897	2540718			
5984	852995	2540659				766	852853	2542848,2542661			
6092	856462	2543571				80174	851707	2539765			
6120	856553	2542514				81653	855552	2539756,2541447			
6127	856575	2542319				834	854241	2542801			
6170	854717	2538900				840	852291	2543267			
6229	853317	2542192				8446	853733,855130	2539206			
6245	853358	2542158				908	851420	2543214			
6275	853471	2540154				90887	850577	2542180			
6287	853527	2542868									
6347	853750	2542458									
6389	853894	2540518									
6430	850649	2540796									
6487	850944	2543397									
6498	850982	2538776									
6536	851125	2539299									
6561	854865	2541166									
6564	854877	2540867									
6666	855260	2543184									
6730	855426	2541493									
6760	855514	2539957									
6785	855591	2542520									
68364	851713	2543193,2540937									
68728	856488	2543503									
6886	854060	2543319									
68963	856017	2543325,3361570									
6950	854286	2542923									
6998	854417	2540668									
7010	854448	2543065									
7033	854519	2540873									
7061	855875	2543082									
7065	855884	2540390									
7068	855894	2539172									
71144	853792	2538733,2538958,2539138,2539052									
7158	856228	2541303									
74795	851369,855512	2540199									
776	855560,856544	2542789									
80244	850835	2540717									
803	856415,853700	2539969									
81844	853364	2541318,2541496									
9359	855489	2539351									
99414	856746	2539738									
