Orthogroup	saccharomyces_cerevisiae	schizosaccharomyces_pombe
2084	853168	2543205
2085	852873	2541139
2086	854119	2540175
2087	852239	2542062
2088	856731	2543122
2089	856830	2539401
2090	850611	2540875
2092	853456	2540878
2093	854328	2541805
2095	851557	2540939
2096	853712	2539862
2097	854284	3361462
2098	852834	2540487
2100	854735	2540191
2101	856422	2541268
2102	856742	2540109
2104	854435	2538912
2106	854810	2543070
2108	851461	2541807
2109	851408	2543347,2542907
2110	852037	2543114
2155	856831	2543580
2185	855104	2542327
2187	854392	2540426
2188	852383	2540215
2205	851665	2539753
2208	851266	2541158
2212	852811	2539530
2255	850685	2542842
2308	854680	2538881,2542638
2342	851455	2540183
2355	853086	2541106
2362	856203	2539290
2381	850713	2541263
2384	854999	2541916
2404	856891	2541582
2455	855441	2540113
2467	854156	2540032
2490	854359	2540210
2506	852376	2540083
2531	852969	2543378
2554	853133	3361487
2592	855350	2541131,2539385
2616	850793	2542266
2676	856844	2539741
2699	851100	2541017
2701	856106	2542502
2730	853097	2539269
2739	855840	2543440
2779	852371	2539938
2780	854543	2542090
2781	855357	2543621
2784	852039	2540819
2786	855177	2543537
2791	854142	2543436
2794	855983	3361548
2809	854474	2541192
2811	853416	2542427
2839	852230	2543488
2856	853159	2539168
2899	853846	2541592
2900	853125	2542778
2903	851797	2542017
2906	850427	2540434
2908	850868	2542885
2926	855906	2542857
2952	851015	2539416
2979	854973	2540105
2983	855149	2539569
2985	852177	2541526
2986	856421	2541999
2991	852549	2539887
2994	853386	2543228
3001	853521	2541086
3020	853463	2543455
3034	853747	2543164
3060	851195	2543662
3064	854778	2543351
3073	853709	2541690
3074	850747	2542651
3084	854056	2541841
3119	852903	2540982
3133	853681	2540711
3138	853667	2541208
3159	855324	2543490
3160	850860	2541300
3171	851360	2539231
3175	855347	2542779
3193	851981	2543663
3218	851410	2541412
3221	855971	2542827,5802969
3238	851394	2541216
3275	854538	2541985
3279	856423	2542415
3280	850522	2543647
3281	856597	2541110
3304	853807	2538859
3315	855986	2540174
3325	852258	2540620
3357	852198	2543074
3371	856306	2543284
3374	852325	2539826
3381	850981	2542480
3408	855012	2540763
3426	856571	2542880
3444	851168	2542384
3446	856307	2541477
3452	856255	2541476
3475	852440	2542148
3476	852521	2540573
3499	852740	2540050
3521	852259	2541875
3572	852666	2542078
3586	856226	2539663
3597	850973	2540308
3615	856498	2540710
3620	854777	2543390
3623	856076	2539366
3628	856732	2542978
3637	853632	2540720
3645	851105	2542436
3672	856687	2542663
3693	851874	2539106
3702	850422	2541182
3704	854339	2540978
3709	851265	2541776
3780	850562	2541819
3792	852327	2539839
3795	854444	2542310
3836	856085	2538760
3897	853775	2541462
3903	851757	2540277
3908	853418	2541815
3918	851326	2539574
3973	855428	2542094
3974	853371	2543010
3981	856815	2543484
4002	851931	2539272
4015	850775	2539817
4017	855869	2541306
4018	851998	2539967
4019	856310	2543606
4037	854303	2541260
4053	851607	2539746
4083	855264	2542757
4091	853316	2541127
4160	850749	2541974
4177	853856	2541767
4178	851085	2540144
4181	851532	5802965
4210	851632	2543648
4212	855786	2540908
4217	854152	2542936
4228	852196	2542768
4240	850554	2543040
4252	855832	2541206
4254	853429	2542114
4277	853581	2543456
4323	852501	2540630
4337	853724	2541640
4349	852752	2542993
4373	853438	2540567
4378	856689	2540075
4394	850912	2541870
4443	851207	2541239
4446	855143	2543298
4485	851717	2540129
4502	852372	2542410
4531	853475	2539218
4539	855459	2540627
4541	852810	2541470
4550	853023	2541004
4551	852088	2539109
4587	852986	2540197
4597	850540	2540557
4617	850883	2542139
4620	853298	2543163
4631	854790	2539636
4642	856311	2538699
4659	853596	2539463
4660	850894	2541087
4662	856576	2540790
4664	855652	2541542
4675	852536	2540002
4681	855342	2540820
4687	851748	2542107
4694	853333	2540572
4695	851412	2540053
4696	854664	2542212
4705	850589	2541319
4706	856570	2543413
4711	850919	2539337
4722	855737	2538992
4744	852003	2539539
4751	851587	2542163
4760	855616	2542278
4769	856921,851672	2540578
4771	856647	2541840
4778	853638	2539873
4788	856160	2538914
4802	853447	2540305
4856	855841	2541077
4880	855009	2539736
4887	852721	2543485
4904	850980	2542477
4916	851068	2538977
4919	853830	2538877
4926	856376	2542333
4937	850820	2540971
4965	854192	2539474
4972	854997	2541782
4973	853187	2539673
4981	852187	2539692
4997	854371	2541234
5013	854583	1669523
5016	854598	1669524
5017	854622	1669525
5035	855691	2541894
5044	850745	3361266,2542109
5064	852497	2539353
5072	854789	2542125
5093	852704	2541786
5096	854517	2539190
5114	850298	2540544
5124	854283	2541094
5129	850893	2539789
5135	856926	2542106
5168	851431	2542744
5207	852665	2541355
5211	852244	2543658
5239	856105	2541147
5240	854211	2539975
5250	852785	2541485
5257	853535	2540123
5263	853146	2538888
5296	851208	2541944
5297	851210	2543657
5308	852882,851264	2540028
5320	852180	2538744
5325	852202	2541245
5337	852247	2541490
5343	852261	2541221
5346	852266	2542515
5347	852271	2540110
5351	852286,851564	2541115
5353	852288	2541402
5356	852296	2542011
5360	854846,852309	2541559,2542586
5361	852313	2541434
5362	852314	2542100
5364	852323	2542998
5372	852353	2543625
5386	852403	2542504
5387	852407	2541937
5388	852408	2541356
5390	852412	2542079
5392	852423	2542660
5401	852459	2541329
5403	852468	2539821
5404	852469	2541043
5418	854266	2540706
5420	852514	2543624
5422	852519,852818	2539661
5426	852530	2543277
5429	852537	2540830
5431	852544	2539410
5433	852550	2541224
5434	851605	2542631
5436	852556	2539833
5437	852559	2539183
5439	852564	2542340
5463	850343	2540403
5467	850352	2541243
5468	850354	2541774
5470	850360	2543686
5472	850367	2541160
5474	850376	2542152
5475	850381	2542315
5482	850402	2539822
5484	850411	2543664
5486	850414	2542685
5489	850420	2542653
5490	850423	2541824
5494	850435	2539380
5510	851353,850486,855384,853621	2539108
5513	851362	2539960
5517	851372	2539181
5518	851307	2543253
5520	851311	2539148
5524	851319	2542369
5525	851320	2540395
5527	851329	2538713
5530	851334	2540399
5532	851425	2539815
5534	851376	2541151
5537	851383	2543509
5540	851388	2538752
5553	851439	2543361
5566	855176	2543119
5568	851477,855173	2543553
5574	851495	2542196
5576	851499	2541779
5578	851504	2538743
5582	851514	2543332
5589	851529	2541868
5590	851530	2543197
5593	851539,854095	2540455,2541502
5598	851563	2539175
5602	851584	2541602
5606	852551	2542597
5607	851606	2540394
5610	851615	2541521
5618	851646	2542577
5632	851698	2540604
5635	851705	2542115
5641	851736	2539267
5650	851770	2539096
5652	851777	2538759
5656	851798	2539691
5661	851820	2542867
5663	851823	2540459
5664	851824	2539798
5666	851835	2543385
5669	851845	2540898
5673	851861	2543249
5683	851894	2542273
5688	851900	2542810
5690	856463,851907	2542610
5695	850850,850857,850852,850855	3361187,2543314,2542491,3361173
5706	851939	2540218
5707	851942	2540548
5708	851947	2538896
5711	851955	3361358
5712	851956	2540065
5719	851979	2542523
5725	851994	2539004
5729	853597	2541970
5735	852019	2542982
5745	854990	2540974
5752	852076	2542686
5754	852083	2540014
5757	852097	2538774
5758	852098	2540577
5778	856649	2543097
5782	856658	2540093
5783	856659	2539581
5785	856664,853510	2542206
5791	856681	2542381
5794	856694	2541142
5799	856714	2539611
5800	856715	2541498
5803	856725	2540396
5808	856748	2538911
5817	856778	2540602
5818	856782	2542720
5820	856790	2541226
5827	856811	2542952
5829	856819	2540162
5830	856820	2540642
5832	856825	2543585
5835	856846	2539863
5844	856863	2539413
5848	856884	2541839
5850	856888	2541557
5853	856900	2543308
5858	856915	2539578
5859	856919	2543676
5870	852606	2542408
5876	852616	2540415
5881	852651	2539063
5887	852680	2542235
5894	852702	2542204
5903	852729	2538817
5905	852734	2541478
5917	852779	2541449
5918	852786	2541684
5930	852815	2539854
5931	855889	2539082
5938	852846	2540906
5946	852872	2541740
5949	852875	2543296
5951	852883	2540634
5956	852895	2542583
5959	852908	2539571
5960	852915	2539116
5961	852919	2541745
5969	852945	2540999
5978	852977	2539093
5982	852988	2540155
5983	852992	2540535
5984	852995	2540659
5991	853026	2542625
5997	853047	2540526
5998	853048	2538997
6001	853951,855292	2539028
6003	853061	2540538
6009	853081	2541577
6017	853109	2543451
6019	853114	2538986
6020	853119	2543381
6022	853124	2540972
6030	853142	2543245
6032	853149	2542104
6039	853170	2539672
6040	853173	2541312
6042	853178	2541953
6048	853195	2539941
6052	853201	2539516
6073	856402	2541567
6076	856413	2540431
6078	856419	2540713
6079	856420	2540857
6081	856432	2540387
6083	856434	2540508
6090	856460	2541389
6092	856462	2543571
6095	856466	2541813
6096	856467	3361429
6098	856473	2539475
6099	856474	2541371
6100	856475	2541589
6101	856476	2542147
6107	856507	2542193
6108	856511	2541739
6110	856513	2543605
6113	856520	2542833
6115	856522	2542897
6120	856553	2542514
6127	856575	2542319
6137	856601	2543420
6149	855951	2542349
6150	854661	2541618
6151	854672	2540370
6157	854688	3361511
6161	854698	2543169
6165	854708	2539682
6170	854717	2538900
6172	854724,855703	2540179,2540226
6173	854726	2539367
6175	854746	2541223
6182	854768	2539526
6185	854792	2543103
6202	854847	2541441
6205	854850	2542470
6206	854852	2541500
6209	853237	2542578
6221	853287	2539462
6229	853317	2542192
6238	853342	2541108
6245	853358	2542158
6257	853397	2541639
6265	853441	2538788
6272	853464	2543654
6274	853470	2540126
6275	853471	2540154
6276	853473	2542155
6277	853481	2542010
6285	853520	2538707
6287	853527	2542868
6288	853531	2541908
6290	853534	2541465
6291	853536	2540995
6310	853594	2539747
6312	853604	2541148
6313	853607	2543032
6320	853668	2540393
6324	853640	2541554
6326	853653	2543497
6329	853684	2541232
6330	853690	2541199
6333	853706	2539500
6337	853713	2540510
6341	855140	2541481
6347	853750	2542458
6349	853762	2542134
6360	853805	2540767
6369	853826	2539883
6379	853860	2539913
6380	853866	2543632
6382	853868	2543521
6384	850686	2540159
6389	853894	2540518
6391	853901	2540482
6395	853910	2540141
6399	853942	2543570
6400	853943	2538945
6404	853956	2543500
6417	850670	2540401
6424	850630	2541673
6426	850633	2540026
6430	850649	2540796
6432	850654	2540379
6437	850698	2538718
6438	850709	2543459
6441	850719	3361391
6445	850744	2539775
6447	850748	2539853
6449	850758	2539776
6451	850774	2539564
6471	850869	2539471
6474	855858	2541285
6477	850898	2542605
6478	850900	2541593
6479	850905	2540716
6487	850944	2543397
6488	850945	2540928
6491	850951	2539295
6493	850955	2539608
6497	850977	2541201
6498	850982	2538776
6499	850983	2542258
6505	850996	2542529
6506	850997	2538806
6507	850998	2543035
6509	851010	2540849
6517	851052	2538893
6520	851065	2542673
6526	851098	2543476
6528	851102	2540489
6533	851117	2541573
6535	851121	2538996
6536	851125	2539299
6541	851139	2542745
6552	856302	2542572
6553	851181	3361539
6559	854930	2539510
6561	854865	2541166
6564	854877	2540867
6566	854888	2543430
6574	854935	2540311
6575	854938	2542761
6581	854970	2541816
6585	854987	2538855
6599	855036	2541252
6600	855037	2541951
6607	855051	2540235
6612	855068	2540888
6617	855084	2539792
6620	855093	2540256
6627	855116	2538836
6628	855117	2542795
6629	855118	2540858
6630	850484,855120,855382	2541464
6631	855383,855121,850485	2542689
6642	855159	2540429
6644	855161	2539693
6650	855190	2539594
6654	855202	2538899
6662	855240	2541623
6666	855260	2543184
6676	855277,854475	2540240
6681	855284	2542060
6687	855304	2543348
6693	855321	2538920
6694	855326	2543128
6697	855335	2541668
6699	855338	2541102
6701	855348	2540741
6706	855361	2539335
6709	855369	2541302
6713	855392	3361401
6716	855396	2540264
6730	855426	2541493
6736	855444	2540848
6754	855499	2543452
6756	855502	2542331
6759	855509	2539965
6760	855514	2539957
6766	855529	2542858
6768	855536	2541549
6774	855553	2540605
6781	855575	2538964
6785	855591	2542520
6795	855608	2542051
6797	855611	2541383
6802	855621	2543629
6806	855632	2540132
6812	855651	2539141
6814	855653	2538797
6818	855665	2541031
6820	855682	2538917
6828	855709	2542630
6832	855722	2543317
6833	855726	2540645
6834	855729	2542695
6843	855763	2539606
6848	855772	2543614
6858	855789	2542777
6867	854023	2541837
6873	853991	2541244
6875	853995	2542398
6876	853996	2540011
6882	854055	2543450
6885	854059	2542790
6886	854060	2543319
6896	854090	2538954
6899	854096	2541050
6907	854124	2543394
6910	854138	2540398
6920	854163	2540993
6927	854213	2542674
6931	854233	2542143
6937	854252	3361396
6943	854262	2542821
6945	855625,854268	2542285
6950	854286	2542923
6953	854292	2541024
6956	854295	2538734
6961	854317	2541679
6964	854326	2540344
6968	854336	2541926
6971	854346	2539940
6973	854356	2542269
6979	854377	2540675
6980	854381	2542666
6981	854382	2543393
6984	854386	2539844
6988	854397	2543171
6991	855968,854401	2541513
6992	854407	2541039
6997	854415	2540103
6998	854417	2540668
7003	854432	2539198
7006	854436	2542899
7010	854448	2543065
7012	854456	2540484
7022	854479	2541060
7024	854487	2541814
7025	854488	2540998
7033	854519	2540873
7035	854530	2543679
7039	854560	2540164
7043	852634,854569	2543096,2543138,2541415
7047	855862	2540247
7048	855863	2539583
7050	855867	2543060
7059	855845	2543618
7060	855874	2541053
7061	855875	2543082
7065	855884	2540390
7066	855887	2541872
7068	855894	2539172
7083	855943	2542670
7090	855981	2539790
7093	856000	2538918
7097	856007	2539529
7100	856012	2541126
7101	856013	2541392,2541377,2541401,2541374
7105	856019	2541614
7115	856057	2543252
7118	856067	2539323
7121	856084	2543105
7131	855732	2543283
7133	856119	2541280
7135	856126	2539126
7144	856161	2542966
7147	856173	2542334
7150	856197	2539369
7151	856209	2541843
7158	856228	2541303
7159	856229	2542487
7160	856234	2540540
7165	856249	2539279
7175	856296	2542836
7387	852862	2540190
7561	852766	2539133
8057	854814	2542122
8106	851800	2539806
8240	852365	2541798
8245	855103	2543628
8446	853733,855130	2539206
8512	853961	2540006
8624	854840	2539654
9205	856652	3361436
9314	856660	2539321
9359	855489	2539351
9366	856097	2539522
9374	851135	2540981
9384	852800	2539169
9444	852881	2542824
9542	855876	2541002
9683	854057	2538771
9817	852257	2541917,2542264
10039	852491	2543465
10076	854700	2540845
10085	850605	2539648
10098	854446	2543549
10117	856009	2539952
10133	854078	2540268
10201	853628	2539739
10409	854168	2542401
10592	855503	2542096
10975	856837	2541642
11286	854309	2543563
11339	850550	2541578
11345	852758	2540411
11599	855558	2539293
11852	854732	2540550
12005	853322	2543174
12070	853962	2541915
12196	850549	2540598
12327	852391	2542924
13169	853602	2542920
13176	850500	2542649
13186	850581	2538785
13188	850588	2538821
13258	850558	2541483
13513	852661	2540314
13654	852308,851572	2541380
13685	852597,850781	2540681,2543130
14008	853052	2541180
14149	850497	2542617
15836	850327	2539650
16936	854445	2542199
17110	856800	2543391
17790	854164	2543256
19642	854024	2540701
19919	851657	2540332
20212	855029	2542469
20277	853427	2540381
20364	855302	2540521
20435	853497	2540750
20500	854185	2539489
20834	853167	2542513
21025	850490	2543301
21182	854980	2539572
21193	855661	2539671
21195	851493	2542598
21477	852322	2543492
21491	852438	2543414
21504	852515,852824	2541117
21506	852523	2539253
21542	850370	2539764
21568	851318	2542531
21578	851403	2541000
21600	851565	2540142
21610	851634	3361415
21644	851814	2543037
21650	851832	2543384
21659	851885	2542036
21661	851899	2539292
21662	851911	2540448
21721	852647	2542850
21753	852644	2539207
21761	852679	2542996
21838	853175	2543005
21858	856391	2542177
21868	856478	2542776
21905	855675	2538862
21907	854715	2539878
21915	854763	2542915
21949	853307,853927	2543496
21950	853924	2543048
21990	853575	2539635
22002	853670	2540744
22046	853906	2539670
22050	853939	2542791
22091	850829	2542509
22107	850949	2542902
22123	851069	3361354
22221	855492	2538694,2539601
22228	855540	2542391
22239	855609	2542799
22495	855483	2542576
22775	853662	2538738
22784	850561	2540597
23082	851978	3361544
23194	852772	2541699
23455	854466	2538749
23546	855612	2538772
24678	852394	2539996
24684	855465	2539851
25175	856529	2542512
26199	856345	2539559
26324	853218	2542082
26360	853256	2541250
29641	852582	2543560
30429	854772	2541744
30493	851772	2542366
30994	854900,851171	2538999
31015	855750	2543344
31249	852452	2542172
31283	850914	2542541
31431	853135	2543386
31432	851419,851336	2539308
31469	852477	2539859
31471	852499	2541726
31513	851458	2542928
31563	851996	2540633
31571	852063	2541140
31574	852068	2542537
31576	852092	2539926
31613	852620	2539075
31619	852712	2539008
31629	852796	2541508
31631	852802	2540213
31646	853122	2540968
31647	853130	2540323
31653	853193	2543505
31656	853202	2539801
31659	853827	2542691
31660	856370	2540527
31661	853841	2542532
31662	856409,850580	2543305
31683	854702	2541267
31704	853336	2541761
31709	853382	2540205
31715	853490	2539705
31762	850637	2539923
31777	850803	2541652
31797	850991	2543599
31808	851096	2543637
31812	851136	2539616
31823	854983	2540449
31828	855077	2542162
31840	855201	2542274
31852	855320	2542225
31858	855424	2540023
31861	855454	2541887
31862	855490	2539120
31885	855683	2539170
31886	855692	2541362
31891	855710	2540821
31902	853985	2539773
31920	854187	2541976
31924	854221	2541448
31940	854391	2540061
31942	854425	5802714
31948	854518	2540989
31960	855902	2541436
31969	855974	2541729
31975	856011	2542396
31978	856023	2539633
31983	854511	2540385
31984	856048	2543483
31986	856077	2538705
32141	854794,850590	2541191,5802952,2540366
32308	853844	2538942
32405	853345	3361531
32615	852287	2543620
32731	854816	2542872
32808	850516	2541846
32809	850519	2542981
34343	851086	2539580
34364	851938	2541632,2539460
34372	853930	2543535
34433	851934	3361561
34457	851503	2541871,2541153
34482	856828	2539845
34502	852724	2540079
34602	853259	2543406
36144	854539	2541210
36154	850505	2539784
36170	850530	2539501
36199	853699	2540648
36231	851547	2541070
36243	852707	2539596
36248	856548	2540338
36273	854278	2543209
36388	854257	2543002
36492	850489	2539173
37249	855581	2540066
37259	853387	2543645
37277	853717	2539344
37376	852976,856217	2541591,2539846
37378	850750	2543021
37408	856470	2542882
37417	856371	2539449
37420	852686,856868	2543085,2542538
37448	852380,852250	2540900
37457	856669	2541834
37459	852762	2543222
37468	852865	2540306
37483	855328	2539090
37487	856876	2541727
37514	851560	2540185
37567	856147	2541752
37650	851193	2543557
37686	850613	2540025
37704	856674	2540481
37712	855404	2538781
37713	855150,850716	2539470,2542370
37714	852754	2539067
37715	850864	2542138,2541445
37729	854330	2539607
37765	855669	2542750
37839	851771	2543227
37852	850777	2543268
37889	851421,851339	2540072
37903	856753	2542219
37906	855480	2543200
37941	855844,855221	2539377
37976	856303	2542054
38006	853968	2540201
38061	852646	2542540
38112	852113,850877	2539943
38176	855934	2540727
38180	856459	2543062
38195	850863	2542843
38236	852240	2540214
38291	853630	2541311
38313	851200	2538895
38324	851223	2542383
38333	851272	2541029
38347	852185	2543460,2540135
38361	852242	2539752
38373	852282	2540842
38392	852346	2540296
38402	852366	2539157
38418	852411	2538860
38419	856188	2540441
38482	852590	2541955
38498	850310	2543057
38578	851414	2540476
38585	851432	2538824
38612	851487	2543291
38633	851558	2539495
38643	851576	2541324
38654	851611	2540539
38671	851678	2540457
38677	851694	3361520
38685	851706	2541877
38696	851733	2540269
38714	851763	2543429
38756	851891	2541225
38765	851906	2542336
38771	851923	2542423
38775	851928	2540917
38780	851935	2542592
38809	852006	2540406
38810	852007	2543388
38816	852016	2542375
38821	852023	2542527
38825	852035	2539722
38834	852059	2539174
38851	852100	2541368
38863	852123	2541309
38869	852142	2539439
38872	852146	2541295,2539466,2541799,2542927
38878	856655	2539834
38885	856675	2539685
38891	856693	2539125
38905	856739	2541113
38916	856767	2541026
38937	856824	2538842
38966	856909	2542967
38987	852648	2541562
39000	852688	2543025
39007	852703	2541890
39057	852858	2542240
39065	852874	2542322
39066	852876,856071	2539012,2542664
39069	852885	2542412
39073	852892	2540623
39074	851039,852893	2543055
39079	852904	2541235
39086	852925	2539982
39089	852938	2539187
39090	852939	2539623
39104	852973	2542959
39154	853098	2539294
39181	853191	2541848
39184	853199	2542700
39206	856404	2542765
39223	856448	2542493
39226	856455	2543263
39240	856485	2539247
39246	856499	2541265
39255	856519	2538762
39294	854668	2541940
39303	854690	2539698
39305	854693	2540019
39311	854711	2539319
39312	854718	2542025
39320	854740	2541189
39323	854745	2539939
39341	854805	2539615
39367	853230	2541348
39379	853273	2542357
39401	853332	3361526
39427	853398	2539983
39451	853502	2543247
39452	853503	2543026
39455	853512	2539094
39461	853526	2538906
39473	853563	2543151
39481	853580	2542376
39493	850690	2539039
39504	853642	2543562
39510	853675	2539476
39527	853716	2539100
39534	853743	2542472
39553	853798	2543111
39571	853840	2543627
39578	853855	2539162
39580	853859	2541575
39597	853326,853916	2540451
39602	853302,853935	2539591
39603	853936	2539236
39608	853949	2542455
39610	853955	2539884
39632	850631	2540934,2539551,2540262,2540940,2540286
39642	850688	2541230
39658	850727	2538835
39674	850763	2542462
39688	850795	3361398
39694	850817	2542450
39749	850966	2543529
39766	851027	2541987
39799	851126	2539244
39834	854868	2541770
39835	854872,855303	2542498
39847	854903	2542267
39875	855003	2539602
39876	855008	2543551
39879	855018,855020,854151	2542220,2539134,2541836,5802732,2542164,2542497
39894	855049	2541540
39905	855080	2541558
39955	855215	2539150
39965	855242	2541992
39979	855268	2543271
39986	855276	2543133
39995	855301	2539238
40008	855329	2541286
40049	855442	2542800
40053	855448	2540728
40061	856560,855464	2542216
40063	855469	2539103
40064	855473	2541914
40089	855547	2542965
40105	850466,851182,855588	2541784
40107	855594	2541315
40112	855602	2543304
40124	855639	2541762
40125	855643	2538943
40133	855662	2542697
40151	855727	2540102
40156	855742	2541187
40157	855751	2538784
40164	855768	2541382
40168	855782	2541708
40178	854019	2541474
40218	854136	2540619
40240	854203	2540128
40243	854208	2541358
40274	854289	2543526
40290	854334	2542890
40306	854373	2543631
40307	854376	2539800
40310	854384	2542272
40341	854452	2543161
40348	854467	2543194
40352	854477	2541778
40361	854505	2541731
40365	854515	2538869,2539097,3361387
40384	855850,854572	3361186,2543234
40390	854099,855870,856239	2541373
40393	855821	2541202
40410	855893	2539820
40411	855895	2543587
40417	855913	2543173
40453	856002	2538987
40455	856006	2540425
40459	856022	2538979
40496	856130	2539164
40499	856134	2541858
40514	856182	2539919
40526	856212	2538982
40528	856214	2540785
40536	856245	2542917,2539165,2543167
40545	856267	2539987
40554	853045,856287	2542171,2541866
40567	856319	2539136
40568	856320	2543417
40661	853011	2541605
40728	850790	2540195
40775	851924	2540514
40812	851213	2542973
40823	856092	2538868
40848	854331	2539916
40859	850890	2542962
40891	851877	2540500
40945	853318	2540520
40953	851389	2538778
40971	850552	2538861
41001	855099	2541628
41009	854123	2541587
41014	854469	2540324
41034	855705	2542441
41080	854335	2538767
41105	853373	2541194
41114	852222	2543170
41136	851554	2543187
41191	855403	2543591
41203	855746	2538946
41206	850452	3361316
41235	852144	2540815
41308	856574	2541069
41334	851682	2543369
41429	856608	2541853
41449	850400	2542505
41480	854678	2541536
41505	852982	2541176
41557	855042	2538830,2543077
41560	855266	2543461
41678	853445	2542044
41747	855182	2540493
41789	854165	2539158
41911	850498	2542033
41914	850507	2542687
41926	856088,850544	2541428
41942	850602	2541520
41963	852044	2542284
42428	853203	2538717
42951	853851	2540788
43139	852108,854050	2543145,2541827
43791	855695	2538796
44063	853768	2538799
44097	854260	2543329
44120	851633	2543203
44130	855957	2541680
44182	851267	2540591
44188	852813	2540122
44205	853139,856327	2543376,2542530,2539979
44488	854994	2542906
44527	855122	2540442
44531	852832	2542730
44781	852618	2538937
45644	851226,854181	2542439
47964	856156,853557	2540682,2540665
48140	852971	2539064
48227	852713	2542749
48343	852169	2539649
48376	851475	2542433
48457	855933	2542688
48535	852255	2538804
48566	850366	2542804
48590	851384	2539398
48624	851664	2541787
48685	854761	2540751
48696	856910	2540372
48703	852670	2540202
48742	853099	2542675
48759	856424	3361177
48777	854644	2542702,2539227
48879	850687	2541828
48885	850734	2539497
48923	854919	2540211
49005	855766	2541444
49042	854127	2540920,2542989
49044	854153	2540562
49075	854484	2541008
49103	855995	2540293
49392	854909	2539325
49610	856154	2541629
52664	855263	2542135
55467	851092	2540031
55480	856804	2542976
55488	856398	2542599
55495	850314	2541460
55497	851153	2540024
55514	851843	2539418
55530	851742	2538850
55537	851095	2541037
55567	852782	2541059
55572	854204	2542564
55617	854231	2540456
55662	854681	2540991
55668	855245	2539972
55682	852265	2542474
55691	856607	2543682
55700	855275	2541863
55730	853809	2542475
55739	852793	2538720
55776	855446	2540261
55785	854310	2542341
55807	855892	3361036
55823	853222	2542291
55839	855984,854379	2538689
55842	853574	2542522
55938	853777	2538766
55940	853118	2541217
55957	855725	2539002
55968	854697	2541601
55991	852675	2539350
56037	850846	2539546
56038	851249	2538910
56049	852307	2541411
56075	850394	2540342
56080	851351,853624	2540119
56086	851418,851335	2540899
56092	851433	2542483
56099	852370,851625	2539046,3361538
56129	856736	2542123
56188	854714	2542609
56221	853538	2543147
56225	853617	2539419
56236	853817	2539658
56253	850821	2539655
56254	855804	2543379,2541480
56270	854932	2541809
56274	855085	2539381
56276	855136,853729	2539659
56280	855254	2540021
56292	855429	2542247
56295	855458	2540356
