C0 (181 OGs)			C1 (84 OGs)			C2 (155 OGs)		
320	851617	2539032	5474	850376	2542152	38643	851576	2541324
3315	855986	2540174	55776	855446	2540261	38821	852023	2542527
3586	856226	2539663	56253	850821	2539655	38825	852035	2539722
3628	856732	2542978	56461	856913,851667	2541560	38905	856739	2541113
3672	856687	2542663	5719	851979	2542523	3897	853775	2541462
3693	851874	2539106	6073	856402	2541567	38987	852648	2541562
3702	850422	2541182	6209	853237	2542578	39073	852892	2540623
37249	855581	2540066	6272	853464	2543654	39223	856448	2542493
37567	856147	2541752	6499	850983	2542258	39341	854805	2539615
37839	851771	2543227	6526	851098	2543476	39580	853859	2541575
38180	856459	2543062	6528	851102	2540489	39835	854872,855303	2542498
38810	852007	2543388	6687	855304	2543348	39955	855215	2539150
38872	852146	2541295,2539466,2541799,2542927	6699	855338	2541102	40105	850466,851182,855588	2541784
38878	856655	2539834	68615	851317	2542911,2543419	40243	854208	2541358
39086	852925	2539982	68748	854699	2541948	40411	855895	2543587
3918	851326	2539574	68986	856294	2542013,2541612	40453	856002	2538987
39311	854711	2539319	6968	854336	2541926	41034	855705	2542441
39367	853230	2541348	6984	854386	2539844	49042	854127	2540920,2542989
39578	853855	2539162	7012	854456	2540484	5239	856105	2541147
39597	853326,853916	2540451	81762	850436,855765	2542873	5343	852261	2541221
39632	850631	2540934,2539551,2540262,2540940,2540286	8624	854840	2539654	5346	852266	2542515
3981	856815	2543484	981	855574	2542814	5347	852271	2540110
39995	855301	2539238				5351	852286,851564	2541115
40124	855639	2541762				5392	852423	2542660
40178	854019	2541474				5437	852559	2539183
40365	854515	2538869,2539097,3361387				5472	850367	2541160
40459	856022	2538979				5510	851353,850486,855384,853621	2539108
40568	856320	2543417				5566	855176	2543119
40775	851924	2540514				55682	852265	2542474
41014	854469	2540324				55842	853574	2542522
41191	855403	2543591				55938	853777	2538766
41203	855746	2538946				55957	855725	2539002
41557	855042	2538830,2543077				55968	854697	2541601
41789	854165	2539158				56080	851351,853624	2540119
4210	851632	2543648				56221	853538	2543147
42951	853851	2540788				56254	855804	2543379,2541480
4373	853438	2540567				56274	855085	2539381
43791	855695	2538796				5669	851845	2540898
44130	855957	2541680				57102	850712	2542922
4617	850883	2542139				5712	851956	2540065
4660	850894	2541087				5785	856664,853510	2542206
4696	854664	2542212				5830	856820	2540642
4802	853447	2540305				5960	852915	2539116
5044	850745	3361266,2542109				5978	852977	2539093
5093	852704	2541786				6001	853951,855292	2539028
5114	850298	2540544				6020	853119	2543381
5240	854211	2539975				6039	853170	2539672
5296	851208	2541944				6110	856513	2543605
5361	852313	2541434				6157	854688	3361511
5486	850414	2542685				6380	853866	2543632
5490	850423	2541824				6424	850630	2541673
5524	851319	2542369				6477	850898	2542605
5568	851477,855173	2543553				6506	850997	2538806
55730	853809	2542475				6566	854888	2543430
5576	851499	2541779				6701	855348	2540741
5590	851530	2543197				6759	855509	2539965
56075	850394	2540342				6795	855608	2542051
5632	851698	2540604				68174	856911	2543064,2542363
5656	851798	2539691				6820	855682	2538917
56743	855890	2539255				68439	853757	2539622
5683	851894	2542273				68450	851006	2543110,2543536
5707	851942	2540548				68479	856140	2539171
57158	852225	2539901				68632	851608,851609,851610	2541204
5803	856725	2540396				68641	851785	2541625
5835	856846	2539863				68737	856609	2543024,2542289,2541387
5881	852651	2539063				68744	854651	2539217
5931	855889	2539082				68893	855679	2539054
5984	852995	2540659				68952	855829	2539614
6092	856462	2543571				69045	854889	2540936,2539864
6096	856467	3361429				6991	855968,854401	2541513
6120	856553	2542514				7101	856013	2541392,2541377,2541401,2541374
6127	856575	2542319				7131	855732	2543283
6170	854717	2538900				74667	852636	2542714
6173	854726	2539367				747	854229	2543309,2542265
6229	853317	2542192				74711	854765	2542914
6245	853358	2542158				74755	850950	2539027
6275	853471	2540154				74841	855897	2540718
6287	853527	2542868				74858	856321	2538983
6290	853534	2541465				766	852853	2542848,2542661
6347	853750	2542458				80174	851707	2539765
6389	853894	2540518				81653	855552	2539756,2541447
6430	850649	2540796				834	854241	2542801
6487	850944	2543397				84	850527	2543269
6498	850982	2538776				840	852291	2543267
6536	851125	2539299				8446	853733,855130	2539206
6561	854865	2541166				856	851013	2541450
6564	854877	2540867				88554	853286	3361378
6662	855240	2541623				88581	855170	2542652
6666	855260	2543184				88782	855860	2541439
6730	855426	2541493				908	851420	2543214
6760	855514	2539957				90887	850577	2542180
6785	855591	2542520				95094	852456	2543099
68364	851713	2543193,2540937				9817	852257	2541917,2542264
68728	856488	2543503						
6875	853995	2542398						
6876	853996	2540011						
6886	854060	2543319						
68960	855978	2538800						
68963	856017	2543325,3361570						
69153	853348	2540685						
6950	854286	2542923						
6998	854417	2540668						
7010	854448	2543065						
7033	854519	2540873						
7061	855875	2543082						
7065	855884	2540390						
7066	855887	2541872						
7068	855894	2539172						
71144	853792	2538733,2538958,2539138,2539052						
7158	856228	2541303						
74795	851369,855512	2540199						
776	855560,856544	2542789						
80244	850835	2540717						
803	856415,853700	2539969						
81844	853364	2541318,2541496						
83305	855767	2540389						
90915	853305,853931	2540806						
9359	855489	2539351						
99414	856746	2539738						
