C0 (1070 OGs)			C1 (94 OGs)			C2 (483 OGs)		
110453	853993	2539701,2540851	38780	851935	2542592	123869	854026	2541706,2539870
110643	854117	2538892,2542912	39323	854745	2539939	123986	850930	2543027
110649	855972	2539680,2543642	39452	853503	2543026	1256	854261	2539937
110750	854551	2539588,2540015	40107	855594	2541315	1279	852424	2543408
110830	854420	2539566	4017	855869	2541306	1281	853782	2543469
111992	855501	2542823	40455	856006	2540425	128182	851636	2542108
11286	854309	2543563	40823	856092	2538868	128432	851620	2538729
113207	852922,851058	2540274	40945	853318	2540520	128489	855532	2539426
11339	850550	2541578	4217	854152	2542936	128491	854855	2540222
11345	852758	2540411	4240	850554	2543040	128665	854179	2539379
113608	852293	2541116,2542190	4349	852752	2542993	130260	850620	2541030
113632	854014,852154,852720,852844	2543471	4531	853475	2539218	130573	850317	2543607
113646	852602,854635,853235,853204,854008,853214,853209	2539976	4620	853298	2543163	130583	856384	2541569
113648	854677	2541317	4662	856576	2540790	130603	855043	2539161
115908	852241	2542937	48566	850366	2542804	130617	854320	2542832
11599	855558	2539293	48696	856910	2540372	130620	856042	2539802
116010	852231	2543316	48703	852670	2540202	133133	851429	2539393
1161	853161	2540071	49044	854153	2540562	134088	851518	2540622
116536	854088	2542607	4973	853187	2539673	134212	852673	2540784
116779	855400	2540319	5337	852247	2541490	134282	856886	3361477
116874	856078	2543678	5404	852469	2541043	134371	853384	2542835
117682	855919	2539918	55488	856398	2542599	134715	855447	2542594
117754	851364	2543609	55807	855892	3361036	135053	856779	2539652
117757	851387	2542253	55839	855984,854379	2538689	135205	852763	5802929
117767	851545	2541165	5607	851606	2540394	135304	854135	2540181
117788	856775	2541179	57015	855196	2540130	136464	851468	2542380
117832	854696	2542951	5719	851979	2542523	136828	852199	2543502
117843	853374	2541183	5859	856919	2543676	136833	852245	2539135
117845	853421	2539343	5983	852992	2540535	136850	850430	2539686
117847	853494	2541379	6095	856466	2541813	136861	851454	2539074
117854	853714	2541634	6113	856520	2542833	136880	851865	2538985,2542447
117866	853964	2542205	6324	853640	2541554	136881	851878	2541078
117877	851137	2539263	6330	853690	2541199	136885	851895	2539694
117883	854895	2541048	6432	850654	2540379	136912	856673	2543661
117886	854943	2539411	6441	850719	3361391	136915	856702	2541010
117891	855241	2541120	6449	850758	2539776	136932	852607	2541123
117921	854428	2540961	6505	850996	2542529	136939	852735	2539152
117929	856065	2541900	6559	854930	2539510	136973	856387	2540055
11852	854732	2540550	6574	854935	2540311	136979	856490	2543454
12	851073	2539985	6650	855190	2539594	136981	856508	2540570
12005	853322	2543174	6736	855444	2540848	136982	856514	2539679
1213	854513	2542031	68044	856418	2539513	136987	856577	2540392
121491	856925	2541579	68612	851358	2541022	136993	854742	2538952
121664	856187	3361433	68806	853739	2541790	137010	853363,853888	2542997
121727	855395	2543342	68890	855640	2539902	137080	854869	2542071
121860	853710	2543612	6896	854090	2538954	137089	855101	2540725
12196	850549	2540598	6943	854262	2542821	137090	855102	2541270
122156	852224,856823	2542008	6964	854326	2540344	137097	855319	2542667
122159	851660	2541297	69753	852066	2542747	137114	855626	2539953
122170	855420	2541486	7003	854432	2539198	137124	855764	2540068
122202	856722	2538741	7059	855845	2543618	137127	854020	2542077
1227	851812	2542704	7090	855981	2539790	137151	854372	2538976
12327	852391	2542924	7093	856000	2538918	137154	854424	2541907
1235	854105	2541338	8106	851800	2539806	137188	856220	2539017
123861	856600	2540432	81915	852685	2541519	137200	856317	2539083
123916	850392	2540853	975	852577	2539087	14008	853052	2541180
123934	851342	2541660				149	851671	2539215
123971	851114	2538841				1571	850714	2543020
124443	851076	2540612				1768	853422	2540589
124444	854867	2538748				17790	854164	2543256
124448	855747	2540279				1875	855708	2538928
124449	855761	2538966,2542390				1906	853651	2542855
126	852306	2541407				197	851391	2541849
1273	853585	2541927				1980	853033	2542354
128202	850444	2542084				1986	850941	2543444
1283	851892	2539241				2014	851456	2540255
128490	856121	3361393				2038	851647	2540680
129115	850676	2541738				2081	854882	2539026
129218	853922	2539538				2082	854544	2539378
129653	854157	2543112				2083	853036	3361518
130576	852017	2538712				2084	853168	2543205
130587	854653	2543619				2087	852239	2542062
130594	853806	2541385				2088	856731	2543122
130596	850628	2540594				2093	854328	2541805
130606	855269	2538897				2097	854284	3361462
130607	855310	2539617				2110	852037	2543114
130610	855418,854036	2541468				21195	851493	2542598
130616	854162	2543630				21504	852515,852824	2541117
130801	850585	2542358				21506	852523	2539253
13169	853602	2542920				21542	850370	2539764
13176	850500	2542649				2155	856831	2543580
13186	850581	2538785				21644	851814	2543037
13188	850588	2538821				21661	851899	2539292
132	853183	2542406				21662	851911	2540448
13258	850558	2541483				21721	852647	2542850
1328	855474	2542721				21761	852679	2542996
133014	851484,851122	2543475				21858	856391	2542177
133183	852797	2541327				21905	855675	2538862
1336	851768	2541128				21949	853307,853927	2543496
133764	853393	2543395				22046	853906	2539670
133863	850764	2540795,2541678				2208	851266	2541158
133984	852565	2542242				22091	850829	2542509
134140	852295	2542467,2541220,2539804				227	850906	2542435
134329	852107	2538833				2308	854680	2538881,2542638
134420	852200	2541386				23194	852772	2541699
134429	852568	2539289				2467	854156	2540032
134711	855636	2540541				24678	852394	2539996
134772	851810,852284	2539523				262	856733	2541631
135080	850456	2539729				26324	853218	2542082
135089	853884	2542248				2701	856106	2542502
13513	852661	2540314				2730	853097	2539269
135169	852554	2543669				2908	850868	2542885
135202	851963	2538703				2985	852177	2541526
135234	852439	2540874				2994	853386	2543228
135300	850304	2542112				30429	854772	2541744
135378	853419	2541630				30493	851772	2542366
135399	855790	2540503				3073	853709	2541690
135504	853839	2539592				3074	850747	2542651
135565	856163	2539835				30994	854900,851171	2538999
135642	855274	2540252				31431	853135	2543386
135796	854158	2540018				31471	852499	2541726
135829	853595	2541719				31563	851996	2540633
135931	855477	2540672				31574	852068	2542537
1363	851450	2540471				31576	852092	2539926
13654	852308,851572	2541380				3159	855324	2543490
136612	852825	2538753				3160	850860	2541300
136648	852916	2543175				31629	852796	2541508
136822	851196	2543241				31661	853841	2542532
136824	851214	2539045,2541983,2541531				31662	856409,850580	2543305
136831	852223	2542124				31709	853382	2540205
136835	852264,853233,854634,855802	2539861				31812	851136	2539616
136837	852349	2541157				31852	855320	2542225
136841	852432	2540027				31861	855454	2541887
136845	852569	2539563				31885	855683	2539170
136859	851407	2540674				31891	855710	2540821
136867	851508	2542560				31960	855902	2541436
136871	851656	2543219				31983	854511	2540385
136876	851746	2541293				3218	851410	2541412
136890	851969	2540076				3238	851394	2541216
136914	856692	2538768				3275	854538	2541985
136919	856723	2540469				3279	856423	2542415
136922	856744	2543212				3304	853807	2538859
136931	856901	2539758				3371	856306	2543284
136940	852747	2540362				3374	852325	2539826
136941	852773	2543087				34343	851086	2539580
136942	852794	2540320				34364	851938	2541632,2539460
136943	852857	2542534				34457	851503	2541871,2541153
136944	852888	2539924				34482	856828	2539845
136951	852974	2542064				34602	853259	2543406
136952	852985	2541461				3475	852440	2542148
136956	853007	2542281				3499	852740	2540050
136961	853108	2539441				35	851862	2540525
136966	853160	2539889				3521	852259	2541875
136972	856373	2542554				3572	852666	2542078
136975	856403	2542802				3623	856076	2539366
136986	856573	2543126				36273	854278	2543209
136988	854662	2540097				36492	850489	2539173
136989	854682	2541489				37259	853387	2543645
136994	854760	2540461,2543017				37277	853717	2539344
137008	853335	2540284				37408	856470	2542882
137011	853365	2539425				37417	856371	2539449
137012	853376	2540529				37459	852762	2543222
137015	853409	2542668				37686	850613	2540025
137017	853455	2541636				37714	852754	2539067
137018	853458	2542038				37715	850864	2542138,2541445
137019	853462	2542083				37765	855669	2542750
137020	853492	2539473				3780	850562	2541819
137025	853569	2539129				37941	855844,855221	2539377
137033	853669	2539973				3795	854444	2542310
137041	853781,856059	2542298				38061	852646	2542540
137043	853833	2543527,2538948				38112	852113,850877	2539943
137053	850652	2543155				38347	852185	2543460,2540135
137059	850796	2539491				38361	852242	2539752
137060	850807	2538832				38392	852346	2540296
137066	850935	2539881				38482	852590	2541955
137072	851049	2541610				38578	851414	2540476
137073	851099	2539020				38612	851487	2543291
137074	851113	2540537				38633	851558	2539495
137075	851115	2538955,2543426				38643	851576	2541324
137081	854881	2542351				38677	851694	3361520
137093	855158	2543371				38771	851923	2542423
137095	855256	2539847				38821	852023	2542527
137096	855273	2539310				38825	852035	2539722
137103	855471	2541635				38834	852059	2539174
137105	855481	2538783				38869	852142	2539439
137113	855618,854276	2540270				38905	856739	2541113
137117	855664	2541274				38966	856909	2542967
137125	855774	2538809				3897	853775	2541462
137128	853997	2541150				38987	852648	2541562
137136	854116	2542314				39000	852688	2543025
137141	854222	2540962				39069	852885	2542412
137145	854263	2542553				39073	852892	2540623
137147	854293	2539062				39089	852938	2539187
137162	854501	2543410				39154	853098	2539294
137169	855838	2542942				39305	854693	2540019
137178	856021	2542419				39312	854718	2542025
137180	856040	2542429				39341	854805	2539615
137181	856063	2540871				39473	853563	2543151
137184	856136	2540555				39504	853642	2543562
137186	856168	2539407				39510	853675	2539476
137187	856171	2543680				39527	853716	2539100
137189	856223	2540794				39553	853798	2543111
137193	856254	2543387				39580	853859	2541575
137199	856305	2541347				39603	853936	2539236
137415	850491	2541810				39610	853955	2539884
141	855227	2542828				39658	850727	2538835
1412	853311	2541544				3973	855428	2542094
145	852495	2539625				3974	853371	2543010
1453	856465	2539832				39905	855080	2541558
1456	851726	2541170				39955	855215	2539150
1480	851260	2539275				39979	855268	2543271
1503	853121	2542385				40049	855442	2542800
1519	853272	2542898				40053	855448	2540728
1534	853849	2543143				40063	855469	2539103
1547	852418	2543181				40112	855602	2543304
158	851322	3361383				4015	850775	2539817
15836	850327	2539650				40151	855727	2540102
1592	856145	2540472				40156	855742	2541187
1609	854913	2543141				40164	855768	2541382
1624	855998	3361514				40243	854208	2541358
1642	853852	2539412				40310	854384	2542272
16936	854445	2542199				40341	854452	2543161
17	851818	2542028				40348	854467	2543194
1707	851061	2542496				40361	854505	2541731
1736	854166	2539042				40411	855895	2543587
1791	856680	2538838				40514	856182	2539919
1821	852071	2540684				40528	856214	2540785
1825	856720	2540428				40567	856319	2539136
1838	850704	2542316				40812	851213	2542973
1843	855779	2541430				40891	851877	2540500
1857	852789	2543416				409	851582	2543195
1902	850625	2539968				4091	853316	2541127
1936	856382	2539997				40971	850552	2538861
1945	852385	2540020				41001	855099	2541628
19642	854024	2540701				41080	854335	2538767
1972	854879	2540664				41206	850452	3361316
1979	855131,853732	2540254				41429	856608	2541853
1982	855928	2540986				4181	851532	5802965
19919	851657	2540332				41911	850498	2542033
2016	854508	2539099				41914	850507	2542687
2017	854791	2538816				41942	850602	2541520
2018	852451	2541910				42428	853203	2538717
2019	852013	2542097				4277	853581	2543456
20212	855029	2542469				44097	854260	2543329
20364	855302	2540521				4443	851207	2541239
20435	853497	2540750				446	853357	2543593
20500	854185	2539489				4485	851717	2540129
2060	856425	2539920				4502	852372	2542410
2076	855600	2541812				4539	855459	2540627
2080	855362	2542559				4551	852088	2539109
20834	853167	2542513				4597	850540	2540557
2085	852873	2541139				4681	855342	2540820
2086	854119	2540175				4705	850589	2541319
2089	856830	2539401				4744	852003	2539539
2095	851557	2540939				48140	852971	2539064
2096	853712	2539862				48376	851475	2542433
2098	852834	2540487				48457	855933	2542688
210	854063	2540695				48923	854919	2540211
2100	854735	2540191				4916	851068	2538977
2101	856422	2541268				4926	856376	2542333
2102	856742	2540109				5035	855691	2541894
21025	850490	2543301				5064	852497	2539353
2108	851461	2541807				5096	854517	2539190
2109	851408	2543347,2542907				5168	851431	2542744
21182	854980	2539572				5343	852261	2541221
21193	855661	2539671				5346	852266	2542515
21477	852322	2543492				5347	852271	2540110
21491	852438	2543414				5353	852288	2541402
21578	851403	2541000				5356	852296	2542011
21610	851634	3361415				5418	854266	2540706
21650	851832	2543384				542	852902	2542494
21659	851885	2542036				5422	852519,852818	2539661
21753	852644	2539207				5429	852537	2540830
21838	853175	2543005				5431	852544	2539410
2185	855104	2542327				5437	852559	2539183
21868	856478	2542776				5472	850367	2541160
2187	854392	2540426				5525	851320	2540395
21907	854715	2539878				554	856766	2541218
21915	854763	2542915				55467	851092	2540031
21950	853924	2543048				55480	856804	2542976
22002	853670	2540744				55497	851153	2540024
22050	853939	2542791				55514	851843	2539418
22107	850949	2542902				55572	854204	2542564
2212	852811	2539530				55617	854231	2540456
22123	851069	3361354				5566	855176	2543119
22221	855492	2538694,2539601				55691	856607	2543682
22239	855609	2542799				55700	855275	2541863
22495	855483	2542576				5574	851495	2542196
2255	850685	2542842				55957	855725	2539002
22775	853662	2538738				55968	854697	2541601
22784	850561	2540597				5598	851563	2539175
23082	851978	3361544				56037	850846	2539546
2342	851455	2540183				56049	852307	2541411
23455	854466	2538749				5618	851646	2542577
23546	855612	2538772				56188	854714	2542609
2355	853086	2541106				56221	853538	2543147
2362	856203	2539290				56225	853617	2539419
2384	854999	2541916				56274	855085	2539381
2404	856891	2541582				56280	855254	2540021
2490	854359	2540210				56301	855634	2542773
25175	856529	2542512				56308	855792	2540204
2531	852969	2543378				5635	851705	2542115
257	850499	2541674				56357	852984,856227	2541599
2592	855350	2541131,2539385				56537	851148	2541961
2616	850793	2542266				5666	851835	2543385
26360	853256	2541250				5669	851845	2540898
2676	856844	2539741				56708	851332	2541273
2699	851100	2541017				5688	851900	2542810
2739	855840	2543440				56959	853871	2541099
2779	852371	2539938				5708	851947	2538896
2780	854543	2542090				57102	850712	2542922
2781	855357	2543621				5712	851956	2540065
2784	852039	2540819				5725	851994	2539004
2786	855177	2543537				5757	852097	2538774
2794	855983	3361548				5778	856649	2543097
2809	854474	2541192				5782	856658	2540093
2811	853416	2542427				5783	856659	2539581
2839	852230	2543488				5785	856664,853510	2542206
29	855993	2541313,2543377				5808	856748	2538911
2900	853125	2542778				5830	856820	2540642
2903	851797	2542017				5832	856825	2543585
2926	855906	2542857				5887	852680	2542235
29641	852582	2543560				5949	852875	2543296
2983	855149	2539569				5951	852883	2540634
2986	856421	2541999				5956	852895	2542583
2991	852549	2539887				5969	852945	2540999
3020	853463	2543455				5991	853026	2542625
3034	853747	2543164				6001	853951,855292	2539028
3060	851195	2543662				6019	853114	2538986
3064	854778	2543351				6020	853119	2543381
3084	854056	2541841				6022	853124	2540972
31015	855750	2543344				6040	853173	2541312
3119	852903	2540982				6042	853178	2541953
31249	852452	2542172				6052	853201	2539516
31283	850914	2542541				6073	856402	2541567
3133	853681	2540711				6079	856420	2540857
3138	853667	2541208				6081	856432	2540387
31432	851419,851336	2539308				6083	856434	2540508
31469	852477	2539859				6108	856511	2541739
31513	851458	2542928				6110	856513	2543605
31571	852063	2541140				6150	854661	2541618
31613	852620	2539075				6151	854672	2540370
31631	852802	2540213				6157	854688	3361511
31646	853122	2540968				6185	854792	2543103
31653	853193	2543505				6285	853520	2538707
31656	853202	2539801				6310	853594	2539747
31683	854702	2541267				6313	853607	2543032
3171	851360	2539231				6369	853826	2539883
31715	853490	2539705				637	852617	2541034
3175	855347	2542779				6380	853866	2543632
31762	850637	2539923				6391	853901	2540482
31797	850991	2543599				6399	853942	2543570
31808	851096	2543637				6426	850633	2540026
31823	854983	2540449				6438	850709	2543459
31840	855201	2542274				6445	850744	2539775
31858	855424	2540023				6447	850748	2539853
31862	855490	2539120				6451	850774	2539564
31886	855692	2541362				6474	855858	2541285
31902	853985	2539773				6477	850898	2542605
31920	854187	2541976				6478	850900	2541593
31924	854221	2541448				6479	850905	2540716
3193	851981	2543663				6499	850983	2542258
31940	854391	2540061				6506	850997	2538806
31942	854425	5802714				6509	851010	2540849
31948	854518	2540989				6528	851102	2540489
31969	855974	2541729				6535	851121	2538996
31975	856011	2542396				6566	854888	2543430
31978	856023	2539633				6628	855117	2542795
31984	856048	2543483				6676	855277,854475	2540240
31986	856077	2538705				6681	855284	2542060
32	856411	2539950,2539980				6699	855338	2541102
320	851617	2539032				6701	855348	2540741
3221	855971	2542827,5802969				6706	855361	2539335
32308	853844	2538942				6709	855369	2541302
32405	853345	3361531				6754	855499	2543452
32615	852287	2543620				6759	855509	2539965
32731	854816	2542872				6766	855529	2542858
3280	850522	2543647				6795	855608	2542051
32809	850519	2542981				6797	855611	2541383
3281	856597	2541110				6802	855621	2543629
3315	855986	2540174				6820	855682	2538917
3325	852258	2540620				68268	853172,856589	2541146
3357	852198	2543074				68304	852839	2541941
3381	850981	2542480				6834	855729	2542695
3408	855012	2540763				68426	855386	2540368
3426	856571	2542880				68439	853757	2539622
34372	853930	2543535				68479	856140	2539171
34433	851934	3361561				68483	853528	2543233
3444	851168	2542384				68504	850506	2540582
3446	856307	2541477				68581	852378	2540300
34502	852724	2540079				68615	851317	2542911,2543419
3452	856255	2541476				68623	851462	2541418
3586	856226	2539663				68717	853025,856268	2539704
3615	856498	2540710				6873	853991	2541244
36231	851547	2541070				68744	854651	2539217
36243	852707	2539596				68777	853461	2540375
36248	856548	2540338				68784	853552	2540355
3628	856732	2542978				68787	853573	2540729
36388	854257	2543002				68813	856389	2539266
3645	851105	2542436				68833	850779	2540773
3672	856687	2542663				68891	855649	2542446
3693	851874	2539106				68893	855679	2539054
3702	850422	2541182				68911	854025	2538726
3709	851265	2541776				68986	856294	2542013,2541612
372	855248	2542818				6907	854124	2543394
37249	855581	2540066				69199	854160	2539931
37378	850750	2543021				6953	854292	2541024
37448	852380,852250	2540900				6971	854346	2539940
37457	856669	2541834				6973	854356	2542269
37468	852865	2540306				7012	854456	2540484
37483	855328	2539090				7022	854479	2541060
37487	856876	2541727				7025	854488	2540998
37514	851560	2540185				7050	855867	2543060
37567	856147	2541752				7060	855874	2541053
37704	856674	2540481				70948	855521	2542742
37712	855404	2538781				7097	856007	2539529
37839	851771	2543227				7131	855732	2543283
37852	850777	2543268				7135	856126	2539126
37889	851421,851339	2540072				7144	856161	2542966
37903	856753	2542219				7165	856249	2539279
3792	852327	2539839				730	854825	2543323
37976	856303	2542054				7387	852862	2540190
38006	853968	2540201				74402	850504	2540051
38180	856459	2543062				74409	852457	2539869
38195	850863	2542843				74572	855584	2538829
38236	852240	2540214				74658	856741	2541720
38291	853630	2541311				74665	856860	2542395
38313	851200	2538895				74683	853016	2540775
38324	851223	2542383				74711	854765	2542914
38333	851272	2541029				74781	855197	3361515
38373	852282	2540842				74841	855897	2540718
38402	852366	2539157				74858	856321	2538983
38419	856188	2540441				75341	850508	2539016
38498	850310	2543057				76	851614	2541934
38585	851432	2538824				77124	853539	2540029
38654	851611	2540539				779	855543	2539797
38671	851678	2540457				81684	856615	2540831
38696	851733	2540269				84	850527	2543269
38714	851763	2543429				840	852291	2543267
38756	851891	2541225				8446	853733,855130	2539206
38765	851906	2542336				856	851013	2541450
38809	852006	2540406				86986	856862	2541818
38810	852007	2543388				88554	853286	3361378
38816	852016	2542375				88581	855170	2542652
38863	852123	2541309				88782	855860	2541439
38872	852146	2541295,2539466,2541799,2542927				90880	851254	2541294
38878	856655	2539834				90887	850577	2542180
38885	856675	2539685				90897	855883	2540439
38891	856693	2539125				90949	850358	2543513
38916	856767	2541026				90953	850865	2540922
38937	856824	2538842				9205	856652	3361436
39057	852858	2542240				9374	851135	2540981
39065	852874	2542322				9444	852881	2542824
39074	851039,852893	2543055				94517	853147	2542919
39079	852904	2541235				99739	852433	2540719
3908	853418	2541815						
39086	852925	2539982						
39090	852939	2539623						
39104	852973	2542959						
3918	851326	2539574						
39181	853191	2541848						
39184	853199	2542700						
39206	856404	2542765						
39223	856448	2542493						
39226	856455	2543263						
39240	856485	2539247						
39255	856519	2538762						
39294	854668	2541940						
39303	854690	2539698						
39311	854711	2539319						
39320	854740	2541189						
39367	853230	2541348						
39379	853273	2542357						
39401	853332	3361526						
39427	853398	2539983						
39451	853502	2543247						
39455	853512	2539094						
39461	853526	2538906						
39481	853580	2542376						
39493	850690	2539039						
39534	853743	2542472						
39571	853840	2543627						
39578	853855	2539162						
39597	853326,853916	2540451						
39602	853302,853935	2539591						
39608	853949	2542455						
39632	850631	2540934,2539551,2540262,2540940,2540286						
39642	850688	2541230						
39674	850763	2542462						
39688	850795	3361398						
39694	850817	2542450						
39749	850966	2543529						
39766	851027	2541987						
39799	851126	2539244						
3981	856815	2543484						
39834	854868	2541770						
39835	854872,855303	2542498						
39847	854903	2542267						
39875	855003	2539602						
39876	855008	2543551						
39894	855049	2541540						
39986	855276	2543133						
39995	855301	2539238						
40008	855329	2541286						
4002	851931	2539272						
40061	856560,855464	2542216						
40064	855473	2541914						
40089	855547	2542965						
40105	850466,851182,855588	2541784						
40124	855639	2541762						
40125	855643	2538943						
40133	855662	2542697						
40157	855751	2538784						
40168	855782	2541708						
40178	854019	2541474						
4018	851998	2539967						
4019	856310	2543606						
40218	854136	2540619						
40240	854203	2540128						
40290	854334	2542890						
40306	854373	2543631						
40307	854376	2539800						
40352	854477	2541778						
40365	854515	2538869,2539097,3361387						
4037	854303	2541260						
40390	854099,855870,856239	2541373						
40393	855821	2541202						
40410	855893	2539820						
40417	855913	2543173						
40453	856002	2538987						
40459	856022	2538979						
40496	856130	2539164						
40499	856134	2541858						
4053	851607	2539746						
40536	856245	2542917,2539165,2543167						
40545	856267	2539987						
40568	856320	2543417						
40775	851924	2540514						
4083	855264	2542757						
40848	854331	2539916						
40859	850890	2542962						
40953	851389	2538778						
41009	854123	2541587						
41014	854469	2540324						
41034	855705	2542441						
41114	852222	2543170						
41136	851554	2543187						
41191	855403	2543591						
41203	855746	2538946						
41235	852144	2540815						
413	854986	2542022						
41308	856574	2541069						
41334	851682	2543369						
41449	850400	2542505						
41480	854678	2541536						
41505	852982	2541176						
41557	855042	2538830,2543077						
41560	855266	2543461						
4160	850749	2541974						
41678	853445	2542044						
4177	853856	2541767						
4178	851085	2540144						
41789	854165	2539158						
41926	856088,850544	2541428						
4210	851632	2543648						
4212	855786	2540908						
4228	852196	2542768						
4252	855832	2541206						
4254	853429	2542114						
42951	853851	2540788						
4323	852501	2540630						
4337	853724	2541640						
4373	853438	2540567						
4378	856689	2540075						
43791	855695	2538796						
4394	850912	2541870						
44063	853768	2538799						
44130	855957	2541680						
44182	851267	2540591						
44188	852813	2540122						
44488	854994	2542906						
44531	852832	2542730						
44781	852618	2538937						
4550	853023	2541004						
45644	851226,854181	2542439						
4587	852986	2540197						
4617	850883	2542139						
4631	854790	2539636						
4659	853596	2539463						
4660	850894	2541087						
4664	855652	2541542						
4675	852536	2540002						
4687	851748	2542107						
4694	853333	2540572						
4695	851412	2540053						
4696	854664	2542212						
4706	856570	2543413						
4711	850919	2539337						
4722	855737	2538992						
4751	851587	2542163						
4760	855616	2542278						
4769	856921,851672	2540578						
4771	856647	2541840						
4778	853638	2539873						
4788	856160	2538914						
4802	853447	2540305						
48227	852713	2542749						
48343	852169	2539649						
4856	855841	2541077						
48590	851384	2539398						
48624	851664	2541787						
48685	854761	2540751						
48742	853099	2542675						
48759	856424	3361177						
48777	854644	2542702,2539227						
4880	855009	2539736						
4887	852721	2543485						
48879	850687	2541828						
48885	850734	2539497						
49005	855766	2541444						
49042	854127	2540920,2542989						
49075	854484	2541008						
49103	855995	2540293						
4919	853830	2538877						
49392	854909	2539325						
49610	856154	2541629						
4972	854997	2541782						
4981	852187	2539692						
4997	854371	2541234						
5044	850745	3361266,2542109						
5072	854789	2542125						
5093	852704	2541786						
5114	850298	2540544						
5124	854283	2541094						
5207	852665	2541355						
5211	852244	2543658						
5239	856105	2541147						
5240	854211	2539975						
5250	852785	2541485						
5257	853535	2540123						
5263	853146	2538888						
52664	855263	2542135						
5296	851208	2541944						
5297	851210	2543657						
530	856399	2542886						
5308	852882,851264	2540028						
531	856014	2540156						
5320	852180	2538744						
5325	852202	2541245						
5351	852286,851564	2541115						
5361	852313	2541434						
5362	852314	2542100						
5364	852323	2542998						
5372	852353	2543625						
5386	852403	2542504						
5387	852407	2541937						
5390	852412	2542079						
5392	852423	2542660						
5401	852459	2541329						
5403	852468	2539821						
5426	852530	2543277						
5433	852550	2541224						
5434	851605	2542631						
5436	852556	2539833						
5439	852564	2542340						
5467	850352	2541243						
5468	850354	2541774						
5474	850376	2542152						
5475	850381	2542315						
5482	850402	2539822						
5484	850411	2543664						
5486	850414	2542685						
5489	850420	2542653						
5490	850423	2541824						
5494	850435	2539380						
5510	851353,850486,855384,853621	2539108						
5513	851362	2539960						
5517	851372	2539181						
5520	851311	2539148						
5524	851319	2542369						
5527	851329	2538713						
5530	851334	2540399						
5537	851383	2543509						
5540	851388	2538752						
55495	850314	2541460						
55537	851095	2541037						
55567	852782	2541059						
55668	855245	2539972						
5568	851477,855173	2543553						
55682	852265	2542474						
55730	853809	2542475						
55739	852793	2538720						
5576	851499	2541779						
55776	855446	2540261						
5578	851504	2538743						
55842	853574	2542522						
5590	851530	2543197						
55938	853777	2538766						
55940	853118	2541217						
55991	852675	2539350						
5602	851584	2541602						
56038	851249	2538910						
5606	852551	2542597						
56075	850394	2540342						
56080	851351,853624	2540119						
56086	851418,851335	2540899						
56092	851433	2542483						
5610	851615	2541521						
56236	853817	2539658						
56253	850821	2539655						
56254	855804	2543379,2541480						
56270	854932	2541809						
56276	855136,853729	2539659						
56292	855429	2542247						
56295	855458	2540356						
